region,sensor,script_version,method_id,data_source,aoi_asset,mask_definition,deduplication,year,period,start,end,raw_images,unique_dates,valid_obs_p10,valid_obs_median,valid_obs_p90,valid_date_rate_p10_pct,valid_date_rate_median_pct,valid_date_rate_p90_pct,area_ge_1_obs_pct,area_ge_3_obs_pct,area_ge_5_obs_pct,area_ge_10_obs_pct,aoi_area_km2,audit_scale_m,audit_crs,obs_definition
Quindio,Landsat,2.2,distinct_calendar_dates_at_valid_pixels,LANDSAT/LC08/C02/T1_L2 + LANDSAT/LC09/C02/T1_L2,users/juliangarzonb/limite_quindio,QA_PIXEL bits 0-5=0; QA_RADSAT=0; SR_B4 footprint,pixelwise_count_distinct_calendar_date_code,2021.0,ANUAL,2021-01-01,2021-12-31,22,22,0.0,2.254253316501672,5.430231715457233,0.0,10.246605984098508,24.682871433896516,79.51442855341998,37.08388254547019,18.85447011390987,0.05679688183341452,1940.543577447419,250,EPSG:32618,unique_valid_calendar_dates_per_pixel
Quindio,Landsat,2.2,distinct_calendar_dates_at_valid_pixels,LANDSAT/LC08/C02/T1_L2 + LANDSAT/LC09/C02/T1_L2,users/juliangarzonb/limite_quindio,QA_PIXEL bits 0-5=0; QA_RADSAT=0; SR_B4 footprint,pixelwise_count_distinct_calendar_date_code,2022.0,ANUAL,2022-01-01,2022-12-31,34,34,0.0,4.0,9.457348895409417,0.0,11.76470588235294,27.815732045321816,87.48768755570669,63.50866355565999,44.16749722902561,13.311937386833103,1940.543577447419,250,EPSG:32618,unique_valid_calendar_dates_per_pixel
Quindio,Landsat,2.2,distinct_calendar_dates_at_valid_pixels,LANDSAT/LC08/C02/T1_L2 + LANDSAT/LC09/C02/T1_L2,users/juliangarzonb/limite_quindio,QA_PIXEL bits 0-5=0; QA_RADSAT=0; SR_B4 footprint,pixelwise_count_distinct_calendar_date_code,2023.0,ANUAL,2023-01-01,2023-12-31,41,41,3.0000000000000004,10.165830571986271,19.446668224177763,7.3170731707317085,24.794708712161636,47.43089810775064,99.24726993486128,94.04230669478326,84.75423923217318,54.727020145374105,1940.543577447419,250,EPSG:32618,unique_valid_calendar_dates_per_pixel
Quindio,Landsat,2.2,distinct_calendar_dates_at_valid_pixels,LANDSAT/LC08/C02/T1_L2 + LANDSAT/LC09/C02/T1_L2,users/juliangarzonb/limite_quindio,QA_PIXEL bits 0-5=0; QA_RADSAT=0; SR_B4 footprint,pixelwise_count_distinct_calendar_date_code,2024.0,ANUAL,2024-01-01,2024-12-31,36,36,2.305564454936346,7.0,16.0,6.404345708156517,19.444444444444446,44.44444444444444,97.34487907050139,84.5611120611111,67.74005664200433,32.752288791197586,1940.543577447419,250,EPSG:32618,unique_valid_calendar_dates_per_pixel
Quindio,Landsat,2.2,distinct_calendar_dates_at_valid_pixels,LANDSAT/LC08/C02/T1_L2 + LANDSAT/LC09/C02/T1_L2,users/juliangarzonb/limite_quindio,QA_PIXEL bits 0-5=0; QA_RADSAT=0; SR_B4 footprint,pixelwise_count_distinct_calendar_date_code,2025.0,ANUAL,2025-01-01,2025-12-31,40,40,2.273034463472448,6.450624811793417,12.429799983018572,5.68258615868112,16.126562029483544,31.07449995754643,98.93670245225678,86.66155570899429,64.4360370502538,23.851580125052163,1940.543577447419,250,EPSG:32618,unique_valid_calendar_dates_per_pixel
Quindio,Landsat,2.2,distinct_calendar_dates_at_valid_pixels,LANDSAT/LC08/C02/T1_L2 + LANDSAT/LC09/C02/T1_L2,users/juliangarzonb/limite_quindio,QA_PIXEL bits 0-5=0; QA_RADSAT=0; SR_B4 footprint,pixelwise_count_distinct_calendar_date_code,2021.0,SEMESTRE_1,2021-01-01,2021-06-30,8,8,0.0,0.0,2.0,0.0,0.0,25.0,45.68824199178565,2.248948324612587,0.0,0.0,1940.543577447419,250,EPSG:32618,unique_valid_calendar_dates_per_pixel
Quindio,Landsat,2.2,distinct_calendar_dates_at_valid_pixels,LANDSAT/LC08/C02/T1_L2 + LANDSAT/LC09/C02/T1_L2,users/juliangarzonb/limite_quindio,QA_PIXEL bits 0-5=0; QA_RADSAT=0; SR_B4 footprint,pixelwise_count_distinct_calendar_date_code,2022.0,SEMESTRE_1,2022-01-01,2022-06-30,15,15,0.0,1.0,4.0,0.0,6.666666666666667,26.666666666666668,65.70238916324634,25.977756289581837,4.858621592742489,0.0,1940.543577447419,250,EPSG:32618,unique_valid_calendar_dates_per_pixel
Quindio,Landsat,2.2,distinct_calendar_dates_at_valid_pixels,LANDSAT/LC08/C02/T1_L2 + LANDSAT/LC09/C02/T1_L2,users/juliangarzonb/limite_quindio,QA_PIXEL bits 0-5=0; QA_RADSAT=0; SR_B4 footprint,pixelwise_count_distinct_calendar_date_code,2023.0,SEMESTRE_1,2023-01-01,2023-06-30,21,21,1.0,4.0,8.408727815147579,4.761904761904762,19.047619047619047,40.041561024512276,93.99586883297133,68.24334505959165,44.990455356368685,7.37681557377101,1940.543577447419,250,EPSG:32618,unique_valid_calendar_dates_per_pixel
Quindio,Landsat,2.2,distinct_calendar_dates_at_valid_pixels,LANDSAT/LC08/C02/T1_L2 + LANDSAT/LC09/C02/T1_L2,users/juliangarzonb/limite_quindio,QA_PIXEL bits 0-5=0; QA_RADSAT=0; SR_B4 footprint,pixelwise_count_distinct_calendar_date_code,2024.0,SEMESTRE_1,2024-01-01,2024-06-30,19,19,0.0,2.0722324205525924,6.416933645172396,0.0,10.906486423961011,33.773334974591556,84.46380582524765,49.57413129270794,26.716052279028833,1.2919830706191915,1940.543577447419,250,EPSG:32618,unique_valid_calendar_dates_per_pixel
Quindio,Landsat,2.2,distinct_calendar_dates_at_valid_pixels,LANDSAT/LC08/C02/T1_L2 + LANDSAT/LC09/C02/T1_L2,users/juliangarzonb/limite_quindio,QA_PIXEL bits 0-5=0; QA_RADSAT=0; SR_B4 footprint,pixelwise_count_distinct_calendar_date_code,2025.0,SEMESTRE_1,2025-01-01,2025-06-30,19,19,1.0,2.419905966690272,6.94665819859808,5.263157894736842,12.736347193106692,36.561358939989894,90.68029690271649,60.207030600875214,30.524375878564875,0.4992387516720741,1940.543577447419,250,EPSG:32618,unique_valid_calendar_dates_per_pixel
